"Collection Name","Title#1","Title Type#1","Name#1","Name Role Term Text#1","Name URI#1","Name#2","Name Role Term Text#2","Name URI#2","Name#3","Name Role Term Text#3","Name URI#3","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Abstract#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#1","Subject Name URI#1","Subject Geographic#1","Subject Geographic URI#1","Subject Temporal#1","Subject Temporal URI#1","Identifier#1","Identifier ARK#1","Physical Location#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"CU Museum of Natural History: Olsen-Chubbuck Collection","6A cross-section of arroyo and bone bed","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 3.5"" x 5""","black-and-white photographs","https://vocab.getty.edu/aat/300128347","A photograph of a cross-section of the dry arroyo and bone bed at Section 23 of the Olsen-Chubbuck site. The cross-section is semi-triangular in shape and filled with bones embedded in dirt. This image was used as figure 12a on page 24 of Joe Ben Wheat's Olsen-Chubbuck publication.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc04_004_006_001.jpg","https://ark.colorado.edu/ark:/47540/fw1v2k42b28f","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","37","1247882","5254","arc-olc04_004_006_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~37~1247882"
"CU Museum of Natural History: Olsen-Chubbuck Collection","6B cross-section of arroyo","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 3.5"" x 5""","black-and-white photographs","https://vocab.getty.edu/aat/300128347","A photograph of a cross-section of the dry arroyo at Section 3 of the Olsen-Chubbuck site. The cross-section is semi-triangular in shape and shows a smooth wall of packed soil. This image was used as figure 12b on page 24 of Joe Ben Wheat's Olsen-Chubbuck publication.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc04_004_006_002.jpg","https://ark.colorado.edu/ark:/47540/xm557v67g7bg","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","38","1247881","5254","arc-olc04_004_006_002.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~38~1247881"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Beginning excavation, JBW 58 OC-5","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958","","","","1 photograph; 2.5"" x 3.5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A landscape photo of the Olsen-Chubbuck archeological site. In the midground, four people are beginning the excavation of the site with shovels. In the background is the horizon and a light sky with clouds. Negative of print UCM# arc-olc04_001_001_018.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_002_005_001.jpg","https://ark.colorado.edu/ark:/47540/p21k3v08d1cs","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","44","1247875","5254","arc-olc05_002_005_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~44~1247875"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Bison skeleton 6A-6GG, JBW 60-16-7","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 2.5"" x 3.5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph of a partially excavated complete bison skeleton. The skull is on the right side of the frame, with the rest of the skeleton extending to the left. The bones are numbered individually, 6A-6GG. This image was used as figure 13b on page 30 of Joe Ben Wheat's Olsen-Chubbuck publication.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_002_190_001.jpg","https://ark.colorado.edu/ark:/47540/sx3k0f9125fs","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","54","1247865","5254","arc-olc05_002_190_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~54~1247865"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Bob Wainwright and Joe Ben Wheat in bone bed","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1960","","","","1 photograph; 4"" x 5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph of the Olsen-Chubbuck archeological dig site. In a semi-excavated bone bed, Joe Ben Wheat stands to the left, smoking a pipe, while Bob Wainwright kneels to the right in a pile of bones with a brush.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_001_015_001.jpg","https://ark.colorado.edu/ark:/47540/zr9f7r22j83v","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","43","1247876","5254","arc-olc05_001_015_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~43~1247876"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Bone 10-NN and projectile point, JBW 60-14-6","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 2.5"" x 3.5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph, a closeup of a rectangular segment of bone marked ""10-NN"". Above it is a dark stone projectile point lying in the soil.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","Projectile points","https://lccn.loc.gov/sh85107373","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_002_174_001.jpg","https://ark.colorado.edu/ark:/47540/9h6p1g23811j","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","52","1247867","5254","arc-olc05_002_174_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~52~1247867"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Bones and projectile point in situ, JBW 60-16-4","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 2.5"" x 3.5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph of various bones embedded in soil, with a dark-colored stone projectile point in the center. There is a black and white scale above the bones.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","Projectile points","https://lccn.loc.gov/sh85107373","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_002_187_001.jpg","https://ark.colorado.edu/ark:/47540/k68f0c1643g7","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","53","1247866","5254","arc-olc05_002_187_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~53~1247866"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Collected projectile points","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1960","","","","1 photograph; 8” x 10”","black-and-white photographs","https://vocab.getty.edu/aat/300128347","A photograph of 26 projectile points arranged in four rows on a dark fabric background. The points are, left to right: (first row) 10483, F-7, F-12, 10484, F-4, 10481, F-3, 10970; (second row) 10482, 10968, F-9; (third row) 10492, 10486, F-2, F-11, 10969, F-9, F-5; (fourth row) 10974, 10485, 10482, F-6, F-10, F-1, F-8. Four of the points have their catalog numbers written on them in dark ink.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","Projectile points","https://lccn.loc.gov/sh85107373","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc04_001_002_002.jpg","https://ark.colorado.edu/ark:/47540/h57z6j4303tc","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","19","1247900","5254","arc-olc04_001_002_002.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~19~1247900"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Dry arroyo full of bones, JBW 60-5-6","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 2.5"" x 3.5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph, only a circle in the center is illuminated. Inside is a top-down view of a dry arroyo full of bones.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_002_107_001.jpg","https://ark.colorado.edu/ark:/47540/jr9v3t3597f0","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","49","1247870","5254","arc-olc05_002_107_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~49~1247870"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Eight projectile fragments from surface","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 4"" x 5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph of eight light-colored stone projectile fragments arranged in two columns of four on a dark surface with a ruler to the right. They were collected from the surface of the Olsen-Chubbuck site by Jerry Chubbuck.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","Projectile points","https://lccn.loc.gov/sh85107373","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_001_004_001.jpg","https://ark.colorado.edu/ark:/47540/265v1161c1gd","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","41","1247878","5254","arc-olc05_001_004_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~41~1247878"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Embedded projectile point (Fig. A)","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 4.5"" x 5.5""","black-and-white photographs","https://vocab.getty.edu/aat/300128347","A detail photograph of a partially embedded projectile point in the center of the image, surrounded by partially embedded bones. There is a lowercase letter a in the bottom left corner.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","Projectile points","https://lccn.loc.gov/sh85107373","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc04_003_031.jpg","https://ark.colorado.edu/ark:/47540/qb7m2r9760vx","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","31","1247888","5254","arc-olc04_003_031.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~31~1247888"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Figure originals for report","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Field notes","https://vocab.getty.edu/aat/300027201","1960/1972","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","39 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","Written descriptions of figures used in Joe Ben Wheat's Olsen-Chubbuck manuscript report as well as hand-drawn maps and drafts of page layouts.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc01-004_001_001.pdf","https://ark.colorado.edu/ark:/47540/0c0n8389j091","CU Museum of Natural History","2024","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","2","1247932","5254","arc-olc01-004_001_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~2~1247932"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Grid over bone bed (Fig. B)","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 2.75"" x 5.25""","black-and-white photographs","https://vocab.getty.edu/aat/300128347","A photograph of a string grid over a section of partially excavated bone, collected in the center of the frame. Two skulls are visible in the middle of the bones. A lowercase letter b is printed in the bottom left corner.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc04_003_024.jpg","https://ark.colorado.edu/ark:/47540/jf7q2m81k7sz","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","29","1247890","5254","arc-olc04_003_024.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~29~1247890"
"CU Museum of Natural History: Olsen-Chubbuck Collection","Grid over bone bed, JBW 60-3-3","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","","","","","","","Still image","http://id.loc.gov/vocabulary/resourceTypes/img","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","1958/1960","","","","1 photograph; 2.5"" x 3.5""","black-and-white negatives","https://vocab.getty.edu/aat/300128343","A photograph of a string grid over the middle section of the bone bed. Bones are collected in the center of the frame.","Excavations (Archaeology)","https://lccn.loc.gov/sh85046105","Prehistoric peoples","https://lccn.loc.gov/sh85080302","Bison","https://lccn.loc.gov/sh85014451","Paleo-Indians","https://lccn.loc.gov/sh85097016","","","","","Olsen-Chubbuck Site (Colo.)","https://lccn.loc.gov/sh2006006916","Twentieth century","https://lccn.loc.gov/sh85139020","arc-olc05_002_093_001.jpg","https://ark.colorado.edu/ark:/47540/fx3z9w86z7c9","CU Museum of Natural History","2024","image/jpeg","local","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","48","1247871","5254","arc-olc05_002_093_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~49~49~48~1247871"
